Company Name,Exchange:Ticker,S&P Entity ID,Industry Classifications,Company Type,Exchanges [Primary Listing],Exchanges [Secondary Listings],Website,Geographic Region,Headquarters - Country,Offices,Primary Address
"2U, Inc. (NasdaqGS:TWOU)",NasdaqGS:TWOU,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,2u.com,United States and Canada,United States,"1150 South Olive Street
Suite 2050 
Los Angeles, California    90015-2799
United States
Main Phone: 213-493-4039
Other Phone: 213-748-0056

8201 Corporate Drive
Suite 900 
Landover, Maryland    20785
United States
Main Phone: 301-892-4350

Headquarters
7900 Harkins Road 
Lanham, Maryland    20706
United States
Main Phone: 301-892-4350

1210 Environ Way 
Chapel Hill, North Carolina    27517
United States

60 Chelsea Piers
Suite 6020 
New York, New York    10011
United States
Main Phone: 212-845-9086
Main Fax: 212-656-1109","Headquarters
7900 Harkins Road 
Lanham, Maryland    20706
United States
Main Phone: 301-892-4350"
3D Systems Corporation (NYSE:DDD),NYSE:DDD,-,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.3dsystems.com,United States and Canada,United States,"Headquarters
333 Three D Systems Circle 
Rock Hill, South Carolina    29730
United States
Main Phone: 803-326-3900","Headquarters
333 Three D Systems Circle 
Rock Hill, South Carolina    29730
United States
Main Phone: 803-326-3900"
"8x8, Inc. (NasdaqGS:EGHT)",NasdaqGS:EGHT,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.8x8.com,United States and Canada,United States,"Headquarters
2125 O'Nel Drive 
San Jose, California    95131
United States
Main Phone: 408-727-1885
Main Fax: 408-980-0432
Other Phone: 866-879-8647","Headquarters
2125 O'Nel Drive 
San Jose, California    95131
United States
Main Phone: 408-727-1885
Main Fax: 408-980-0432
Other Phone: 866-879-8647"
"A10 Networks, Inc. (NYSE:ATEN)",NYSE:ATEN,-,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.a10networks.com,United States and Canada,United States,"Headquarters
3 West Plumeria Drive 
San Jose, California    95134
United States
Main Phone: 408-325-8668
Main Fax: 408-325-8666","Headquarters
3 West Plumeria Drive 
San Jose, California    95134
United States
Main Phone: 408-325-8668
Main Fax: 408-325-8666"
"Acacia Communications, Inc. (NasdaqGS:ACIA)",NasdaqGS:ACIA,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.acacia-inc.com,United States and Canada,United States,"Headquarters
Three Mill and Main Place
Suite 400 
Maynard, Massachusetts    01754
United States
Main Phone: 978-938-4896","Headquarters
Three Mill and Main Place
Suite 400 
Maynard, Massachusetts    01754
United States
Main Phone: 978-938-4896"
"ACI Worldwide, Inc. (NasdaqGS:ACIW)",NasdaqGS:ACIW,554087,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.aciworldwide.com,United States and Canada,United States,"Headquarters
3520 Kraft Road
Suite 300 
Naples, Florida    34105
United States
Main Phone: 239-403-4600
Other Phone: 402-390-7600","Headquarters
3520 Kraft Road
Suite 300 
Naples, Florida    34105
United States
Main Phone: 239-403-4600
Other Phone: 402-390-7600"
"Activision Blizzard, Inc. (NasdaqGS:ATVI)",NasdaqGS:ATVI,555853,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.activisionblizzard.com,United States and Canada,United States,"Headquarters
3100 Ocean Park Boulevard 
Santa Monica, California    90405
United States
Main Phone: 310-255-2000

Delaware
United States","Headquarters
3100 Ocean Park Boulevard 
Santa Monica, California    90405
United States
Main Phone: 310-255-2000"
Actua Corporation (NasdaqGS:ACTA),NasdaqGS:ACTA,345657,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.actua.com,United States and Canada,United States,"Headquarters
555 East Lancaster Avenue
Suite 640 
Radnor, Pennsylvania    19087
United States
Main Phone: 610-727-6900
Main Fax: 610-727-6901

Delaware
United States","Headquarters
555 East Lancaster Avenue
Suite 640 
Radnor, Pennsylvania    19087
United States
Main Phone: 610-727-6900
Main Fax: 610-727-6901"
Acxiom Corporation (NasdaqGS:ACXM),NasdaqGS:ACXM,321550,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.acxiom.com,United States and Canada,United States,"Headquarters
301 East Dave Ward Drive 
Conway, Arkansas    72032
United States
Main Phone: 501-342-1000

100 Redwood Shores Parkway 
Redwood City, California    94065
United States
Main Phone: 650-356-3400","Headquarters
301 East Dave Ward Drive 
Conway, Arkansas    72032
United States
Main Phone: 501-342-1000"
"ADDvantage Technologies Group, Inc. (NasdaqGM:AEY)",NasdaqGM:AEY,-,Information Technology (Primary),Public Company,Nasdaq Global Market (NasdaqGM),-,www.addvantagetechnologies.com,United States and Canada,United States,"Headquarters
1221 East Houston 
Broken Arrow, Oklahoma    74012
United States
Main Phone: 918-251-9121","Headquarters
1221 East Houston 
Broken Arrow, Oklahoma    74012
United States
Main Phone: 918-251-9121"
Adesto Technologies Corporation (NasdaqCM:IOTS),NasdaqCM:IOTS,-,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.adestotech.com,United States and Canada,United States,"Headquarters
3600 Peterson Way 
Santa Clara, California    95054
United States
Main Phone: 408-400-0578","Headquarters
3600 Peterson Way 
Santa Clara, California    95054
United States
Main Phone: 408-400-0578"
Adobe Systems Incorporated (NasdaqGS:ADBE),NasdaqGS:ADBE,482533,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.adobe.com,United States and Canada,United States,"3900 Adobe Way 
Lehi, Utah    84043
United States
Main Phone: 385-345-0000

7930 Jones Branch Drive
5th floor 
McLean, Virginia    22102
United States

801 N. 34th Street 
Seattle, Washington    98103
United States

Headquarters
345 Park Avenue 
San Jose, California    95110
United States
Main Phone: 408-536-6000
Main Fax: 408-537-6000","Headquarters
345 Park Avenue 
San Jose, California    95110
United States
Main Phone: 408-536-6000
Main Fax: 408-537-6000"
"ADTRAN, Inc. (NasdaqGS:ADTN)",NasdaqGS:ADTN,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.adtran.com,United States and Canada,United States,"Headquarters
901 Explorer Boulevard 
Huntsville, Alabama    35806
United States
Main Phone: 256-963-8000
Main Fax: 256-963-6300","Headquarters
901 Explorer Boulevard 
Huntsville, Alabama    35806
United States
Main Phone: 256-963-8000
Main Fax: 256-963-6300"
"Advanced Energy Industries, Inc. (NasdaqGS:AEIS)",NasdaqGS:AEIS,353086,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.advanced-energy.com,United States and Canada,United States,"Headquarters
1625 Sharp Point Drive 
Fort Collins, Colorado    80525
United States
Main Phone: 970-221-4670
Main Fax: 970-407-5296
Other Phone: 800-446-9167

Delaware
United States","Headquarters
1625 Sharp Point Drive 
Fort Collins, Colorado    80525
United States
Main Phone: 970-221-4670
Main Fax: 970-407-5296
Other Phone: 800-446-9167"
"Advanced Micro Devices, Inc. (NasdaqCM:AMD)",NasdaqCM:AMD,109417,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.amd.com,United States and Canada,United States,"Headquarters
One AMD Place
PO Box 3453 
Sunnyvale, California    94088
United States
Main Phone: 408-749-4000

Delaware
United States","Headquarters
One AMD Place
PO Box 3453 
Sunnyvale, California    94088
United States
Main Phone: 408-749-4000"
Aehr Test Systems (NasdaqCM:AEHR),NasdaqCM:AEHR,-,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.aehr.com,United States and Canada,United States,"Headquarters
400 Kato Terrace 
Fremont, California    94539
United States
Main Phone: 510-623-9400
Main Fax: 510-623-9450","Headquarters
400 Kato Terrace 
Fremont, California    94539
United States
Main Phone: 510-623-9400
Main Fax: 510-623-9450"
"Aerohive Networks, Inc. (NYSE:HIVE)",NYSE:HIVE,-,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.aerohive.com,United States and Canada,United States,"Headquarters
1011 McCarthy Boulevard 
Milpitas, California    95035
United States
Main Phone: 408-510-6100
Main Fax: 408-510-6199
Other Phone: 866-918-9918","Headquarters
1011 McCarthy Boulevard 
Milpitas, California    95035
United States
Main Phone: 408-510-6100
Main Fax: 408-510-6199
Other Phone: 866-918-9918"
"Agilysys, Inc. (NasdaqGS:AGYS)",NasdaqGS:AGYS,101890,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.agilysys.com,United States and Canada,United States,"Headquarters
1000 Windward Concourse
Suite 250 
Alpharetta, Georgia    30005
United States
Main Phone: 770-810-7800
Other Phone: 800-241-8768

Ohio
United States","Headquarters
1000 Windward Concourse
Suite 250 
Alpharetta, Georgia    30005
United States
Main Phone: 770-810-7800
Other Phone: 800-241-8768"
"Airgain, Inc. (NasdaqCM:AIRG)",NasdaqCM:AIRG,-,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.airgain.com,United States and Canada,United States,"14E Hanking Building
No. 23 Dengliang Road
NanShan District 
ShenZhen, Guangdong Province    518064
China
Main Phone: 86 13 5309 05982

Building No. 18
Xixin Industrial Park 
Zhangjiagang, Jiangsu Province    215638
China

2F-7, No. 8, Taiyuan 1st Street
Zhubei City 
Hsinchu County    302
Taiwan
Main Phone: 886 3 5601 522

Broughton Hall
46 Lode Road 
Lode, Cambridgeshire    CB25 9ET
United Kingdom
Main Phone: 44 20 3290 2648

Headquarters
3611 Valley Centre Drive
Suite 150 
San Diego, California    92130
United States
Main Phone: 760-579-0200
Main Fax: 760-579-0892","Headquarters
3611 Valley Centre Drive
Suite 150 
San Diego, California    92130
United States
Main Phone: 760-579-0200
Main Fax: 760-579-0892"
"Akamai Technologies, Inc. (NasdaqGS:AKAM)",NasdaqGS:AKAM,347720,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.akamai.com,United States and Canada,United States,"799 Market Street
4th and 6th Floors 
San Francisco, California    94103
United States

2833 South Colorado Boulevard 
Denver, Colorado    80222
United States

Headquarters
150 Broadway 
Cambridge, Massachusetts    02142
United States
Main Phone: 617-444-3000
Main Fax: 617-444-3001","Headquarters
150 Broadway 
Cambridge, Massachusetts    02142
United States
Main Phone: 617-444-3000
Main Fax: 617-444-3001"
"Akoustis Technologies, Inc. (NasdaqCM:AKTS)",NasdaqCM:AKTS,-,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.akoustis.com,United States and Canada,United States,"Headquarters
9805 Northcross Center Court
Suite H 
Huntersville, North Carolina    28078
United States
Main Phone: 704-997-5735
Main Fax: 704-997-5734","Headquarters
9805 Northcross Center Court
Suite H 
Huntersville, North Carolina    28078
United States
Main Phone: 704-997-5735
Main Fax: 704-997-5734"
"Alarm.Com Holdings, Inc. (NasdaqGS:ALRM)",NasdaqGS:ALRM,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.alarm.com,United States and Canada,United States,"8150 Leesburg Pike 
Vienna, Virginia    22182
United States
Main Phone: 877-389-4033

Headquarters
8281 Greensboro Drive
Suite 100 
Tysons, Virginia    22102
United States
Main Phone: 877-389-4033","Headquarters
8281 Greensboro Drive
Suite 100 
Tysons, Virginia    22102
United States
Main Phone: 877-389-4033"
"ALJ Regional Holdings, Inc. (NasdaqGM:ALJJ)",NasdaqGM:ALJJ,-,Information Technology (Primary),Public Company,Nasdaq Global Market (NasdaqGM),-,www.aljregionalholdings.com,United States and Canada,United States,"Headquarters
244 Madison Avenue
PMB Suite 358 
New York City, New York    10016
United States
Main Phone: 212-883-0083","Headquarters
244 Madison Avenue
PMB Suite 358 
New York City, New York    10016
United States
Main Phone: 212-883-0083"
Alliance Data Systems Corporation (NYSE:ADS),NYSE:ADS,353095,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.alliancedata.com,United States and Canada,United States,"438 University Avenue
Suite 600 
Toronto, Ontario    M5G 2L1
Canada

Headquarters
7500 Dallas Parkway
Suite 700 
Plano, Texas    75024
United States
Main Phone: 214-494-3000

Delaware
United States","Headquarters
7500 Dallas Parkway
Suite 700 
Plano, Texas    75024
United States
Main Phone: 214-494-3000"
Alpha and Omega Semiconductor Limited (NasdaqGS:AOSL),NasdaqGS:AOSL,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.aosmd.com,United States and Canada,United States,"Headquarters
475 Oakmead Parkway 
Sunnyvale, California    94085
United States
Main Phone: 408-830-9742
Main Fax: 408-830-9749
Other Phone: 408-789-3172","Headquarters
475 Oakmead Parkway 
Sunnyvale, California    94085
United States
Main Phone: 408-830-9742
Main Fax: 408-830-9749
Other Phone: 408-789-3172"
Alphabet Inc. (NasdaqGS:GOOGL),NasdaqGS:GOOGL,574506,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),"NasdaqGS:GOOG
Company: Alphabet Inc.
(IQT260152426) - Nasdaq Global Select (NasdaqGS)",abc.xyz,United States and Canada,United States,"Tsinghua Science Park Building 6
Number 1 Zhongguancun East Road
Haidian District 
Beijing    100084
China
Main Phone: 86 10 6250 3000
Main Fax: 86 10 6250 3001

3 North Avenue
Maker Maxity, Bandra Kurla Complex
Bandra East 
Mumbai, Maharashtra    400051
India

Roppongi Hills Mori Tower
6-10-1 Roppongi
Minato-ku
PO Box 22 
Tokyo    106-6126
Japan
Main Phone: 81 3 6384 9000

Google Asia Pacific Pte. Ltd.
8 Marina View
Asia Square 1 #30-01 
Singapore    018960
Singapore
Main Phone: 65 6521-8000
Main Fax: 65 6521-8901

Google UK Ltd
Belgrave House
76 Buckingham Palace Road 
London    SW1W 9TQ
United Kingdom
Main Phone: 44 (0)20-7031-3000
Main Fax: 44 (0)20-7031-3001

601 N. 34th Street 
Seattle, Washington    98103
United States
Main Phone: +1 206-876-1800

Headquarters
1600 Amphitheatre Parkway 
Mountain View, California    94043
United States
Main Phone: 650-253-0000

YouTube
900 Cherry Avenue 
San Bruno, California    94066
United States

222 Caspian Drive 
Sunnyvale, California    94089
United States

345 Spear Street
Floors 2-4 
San Francisco, California    94105
United States
Main Phone: (415) 736-0000

Delaware
United States

Chelsea Market Space
75 Ninth Avenue
2nd and 4th Floors 
New York, New York    10011
United States
Main Phone: 212-565-0000","Headquarters
1600 Amphitheatre Parkway 
Mountain View, California    94043
United States
Main Phone: 650-253-0000"
"Alteryx, Inc. (NYSE:AYX)",NYSE:AYX,-,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.alteryx.com,United States and Canada,United States,"Headquarters
3345 Michelson Drive
Suite 400 
Irvine, California    92612
United States
Main Phone: 888-836-4274
Main Fax: 714-516-2410

12303 Airport Way
Suite 250 
Broomfield, Colorado    80021
United States
Main Phone: 714-516-2400","Headquarters
3345 Michelson Drive
Suite 400 
Irvine, California    92612
United States
Main Phone: 888-836-4274
Main Fax: 714-516-2410"
"Ambarella, Inc. (NasdaqGS:AMBA)",NasdaqGS:AMBA,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.ambarella.com,United States and Canada,United States,"Headquarters
3101 Jay Street 
Santa Clara, California    95054
United States
Main Phone: 408-734-8888
Main Fax: 408-734-0788","Headquarters
3101 Jay Street 
Santa Clara, California    95054
United States
Main Phone: 408-734-8888
Main Fax: 408-734-0788"
"Amber Road, Inc. (NYSE:AMBR)",NYSE:AMBR,-,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.amberroad.com,United States and Canada,United States,"Headquarters
One Meadowlands Plaza 
East Rutherford, New Jersey    07073
United States
Main Phone: 201-935-8588
Main Fax: 201-935-5187","Headquarters
One Meadowlands Plaza 
East Rutherford, New Jersey    07073
United States
Main Phone: 201-935-8588
Main Fax: 201-935-5187"
